type,email,password,studentId,firstName,lastName,school,channelID,deviceType,id,createdAt,updatedAt
STUDENT,conner@usc.edu,test,NULL,Conner,Frey,University of Southern California,,,1,2016-02-26 15:18:08,2016-02-26 15:18:08
STUDENT,zeff@usc.edu,test,NULL,Zach,Zeff,University of Southern California,,,2,2016-02-27 15:18:08,2016-02-27 15:18:08
STUDENT,kintz@usc.edu,test,NULL,"Sonya 
",Kintz ,University of Southern California,,,3,2016-02-28 15:18:08,2016-02-28 15:18:08
STUDENT,gossage@usc.edu,test,NULL,Latrisha,Gossage,University of Southern California,,,4,2016-02-29 15:18:08,2016-02-29 15:18:08
STUDENT,torrey@usc.edu,test,NULL,Crissy ,Torrey,University of Southern California,,,5,2016-03-01 15:18:08,2016-03-01 15:18:08
STUDENT,amo@usc.edu,test,NULL,Janetta   ,Amo,University of Southern California,,,6,2016-03-02 15:18:08,2016-03-02 15:18:08
STUDENT,mcilwain@usc.edu,test,NULL,Filiberto ,Mcilwain,University of Southern California,,,7,2016-03-03 15:18:08,2016-03-03 15:18:08
STUDENT,alexandre@usc.edu,test,NULL,Rebecca ,Alexandre,University of Southern California,,,8,2016-03-04 15:18:08,2016-03-04 15:18:08
STUDENT,nelsen@usc.edu,test,NULL,Denae ,Nelsen,University of Southern California,,,9,2016-03-05 15:18:08,2016-03-05 15:18:08
STUDENT,duren@usc.edu,test,NULL,Karisa  ,Duren,University of Southern California,,,10,2016-03-06 15:18:08,2016-03-06 15:18:08
STUDENT,krahn@usc.edu,test,NULL,Luanna,Krahn,University of Southern California,,,11,2016-03-07 15:18:08,2016-03-07 15:18:08
STUDENT,pilon@usc.edu,test,NULL,Mireya ,Pilon,University of Southern California,,,12,2016-03-08 15:18:08,2016-03-08 15:18:08
STUDENT,fitzsimmons@usc.edu,test,NULL,Ming ,Fitzsimmons,University of Southern California,,,13,2016-03-09 15:18:08,2016-03-09 15:18:08
STUDENT,conlon@usc.edu,test,NULL,Latrice  ,Conlon,University of Southern California,,,14,2016-03-10 15:18:08,2016-03-10 15:18:08
STUDENT,loaiza@usc.edu,test,NULL,Jules ,Loaiza,University of Southern California,,,15,2016-03-11 15:18:08,2016-03-11 15:18:08
STUDENT,kunst@usc.edu,test,NULL,Chantal   ,Kunst,University of Southern California,,,16,2016-03-12 15:18:08,2016-03-12 15:18:08
STUDENT,brickley@usc.edu,test,NULL,Season ,Brickley,University of Southern California,,,17,2016-03-13 15:18:08,2016-03-13 15:18:08
STUDENT,backlund@usc.edu,test,NULL,Rae  ,Backlund,University of Southern California,,,18,2016-03-14 15:18:08,2016-03-14 15:18:08
STUDENT,rolph@usc.edu,test,NULL,Ryan  ,Rolph,University of Southern California,,,19,2016-03-15 15:18:08,2016-03-15 15:18:08
STUDENT,jordahl@usc.edu,test,NULL,Tandy ,Jordahl ,University of Southern California,,,20,2016-03-16 15:18:08,2016-03-16 15:18:08
STUDENT,jones@usc.edu,test,NULL,Ciara  ,Jones,University of Southern California,,,21,2016-03-17 15:18:08,2016-03-17 15:18:08
STUDENT,rivas@usc.edu,test,NULL,Nila  ,Rivas,University of Southern California,,,22,2016-03-18 15:18:08,2016-03-18 15:18:08
STUDENT,derouen@usc.edu,test,NULL,Hayley ,Derouen,University of Southern California,,,23,2016-03-19 15:18:08,2016-03-19 15:18:08
STUDENT,plowden@usc.edu,test,NULL,Danyell  ,Plowden,University of Southern California,,,24,2016-03-20 15:18:08,2016-03-20 15:18:08
STUDENT,kellner@usc.edu,test,NULL,Lyman  ,Kellner,University of Southern California,,,25,2016-03-21 15:18:08,2016-03-21 15:18:08
STUDENT,flippin@usc.edu,test,NULL,German  ,Flippin,University of Southern California,,,26,2016-03-22 15:18:08,2016-03-22 15:18:08
STUDENT,mincks@usc.edu,test,NULL,Ayana ,Mincks ,University of Southern California,,,27,2016-03-23 15:18:08,2016-03-23 15:18:08
STUDENT,bickers@usc.edu,test,NULL,Elvia  ,Bickers,University of Southern California,,,28,2016-03-24 15:18:08,2016-03-24 15:18:08
STUDENT,serra@usc.edu,test,NULL,Elfriede  ,Serra,University of Southern California,,,29,2016-03-25 15:18:08,2016-03-25 15:18:08
STUDENT,borst@usc.edu,test,NULL,Daniel,Borst  ,University of Southern California,,,30,2016-03-26 15:18:08,2016-03-26 15:18:08
STUDENT,smalley@usc.edu,test,NULL,Halina  ,Smalley,University of Southern California,,,31,2016-03-27 15:18:08,2016-03-27 15:18:08
STUDENT,staudt@usc.edu,test,NULL,Nakesha  ,Staudt,University of Southern California,,,32,2016-03-28 15:18:08,2016-03-28 15:18:08
STUDENT,conkling@usc.edu,test,NULL,Desiree ,Conkling,University of Southern California,,,33,2016-03-29 15:18:08,2016-03-29 15:18:08
STUDENT,ledesma@usc.edu,test,NULL,Louis ,Ledesma,University of Southern California,,,34,2016-03-30 15:18:08,2016-03-30 15:18:08
STUDENT,templin@usc.edu,test,NULL,Annalisa,Templin  ,University of Southern California,,,35,2016-03-31 15:18:08,2016-03-31 15:18:08
STUDENT,bova@usc.edu,test,NULL,Ray  ,Bova,University of Southern California,,,36,2016-04-01 15:18:08,2016-04-01 15:18:08
STUDENT,afanador@usc.edu,test,NULL,Akilah  ,Afanador,University of Southern California,,,37,2016-04-02 15:18:08,2016-04-02 15:18:08
STUDENT,pietila@usc.edu,test,NULL,Nadene,Pietila  ,University of Southern California,,,38,2016-04-03 15:18:08,2016-04-03 15:18:08
STUDENT,line@usc.edu,test,NULL,Elke  ,Line,University of Southern California,,,39,2016-04-04 15:18:08,2016-04-04 15:18:08
STUDENT,roza@usc.edu,test,NULL,Ladonna ,Roza,University of Southern California,,,40,2016-04-05 15:18:08,2016-04-05 15:18:08
STUDENT,heyer@usc.edu,test,NULL,Sabrina  ,Heyer,University of Southern California,,,41,2016-04-06 15:18:08,2016-04-06 15:18:08
STUDENT,pompey@usc.edu,test,NULL,Concepcion  ,Pompey,University of Southern California,,,42,2016-04-07 15:18:08,2016-04-07 15:18:08
STUDENT,draughn@usc.edu,test,NULL,Cammy  ,Draughn,University of Southern California,,,43,2016-04-08 15:18:08,2016-04-08 15:18:08
STUDENT,manier@usc.edu,test,NULL,Marlyn,Manier  ,University of Southern California,,,44,2016-04-09 15:18:08,2016-04-09 15:18:08
STUDENT,rommel@usc.edu,test,NULL,Matha  ,Rommel,University of Southern California,,,45,2016-04-10 15:18:08,2016-04-10 15:18:08
STUDENT,meaders@usc.edu,test,NULL,Tesha,Meaders  ,University of Southern California,,,46,2016-04-11 15:18:08,2016-04-11 15:18:08
STUDENT,krout@usc.edu,test,NULL,Bernardina ,Krout ,University of Southern California,,,47,2016-04-12 15:18:08,2016-04-12 15:18:08
STUDENT,slocumb@usc.edu,test,NULL,Zane  ,Slocumb  ,University of Southern California,,,48,2016-04-13 15:18:08,2016-04-13 15:18:08
STUDENT,burmeister@usc.edu,test,NULL,Tommy  ,Burmeister,University of Southern California,,,49,2016-04-14 15:18:08,2016-04-14 15:18:08
STUDENT,keys@usc.edu,test,NULL,Susie  ,Keys,University of Southern California,,,50,2016-04-15 15:18:08,2016-04-15 15:18:08
